matchSeed,turnNumber,randomCallCount,aiStyleOverride,winnerAtDecision,pieceId,fromTileId,toTileId,fromPathIndex,toPathIndex,progressScore,safetyScore,aggressionScore,totalScore,weightProgress,weightSafety,weightAggression,candidateCount,selectedRank,explanation
1200,1,12,"fixed","",7,14,5,0,3,0.250000,0.000000,0.000000,0.250000,1.000000,1.000000,1.000000,7,1,"This was a marginally better option. I opened with progress because the immediate gain outweighed the early risk."
1200,2,20,"fixed","",7,5,4,3,6,0.450000,-0.450000,0.000000,0.000000,1.000000,1.000000,1.000000,1,1,"This was the only legal move. The options were close, so I chose the line with slightly stronger forward progress."
1200,3,28,"fixed","",7,14,11,0,1,0.083333,0.000000,0.000000,0.083333,1.000000,1.000000,1.000000,7,1,"This was a marginally better option. I opened with progress because the immediate gain outweighed the early risk."
1200,4,36,"fixed","",7,11,5,1,3,0.233333,0.000000,0.000000,0.233333,1.000000,1.000000,1.000000,7,1,"This was a marginally better option. The options were close, so I chose the line with slightly stronger forward progress."
1200,5,48,"fixed","",8,14,8,0,2,0.166667,0.000000,0.000000,0.166667,1.000000,1.000000,1.000000,7,1,"This was a marginally better option. The options were close, so I chose the line with slightly stronger forward progress."
1200,6,56,"fixed","",7,5,2,3,4,0.283333,1.000000,0.000000,1.283333,1.000000,1.000000,1.000000,6,1,"This was a clear best option. I chose the rosette because it improves safety while preserving progress."
1200,7,60,"fixed","",7,2,10,4,8,0.600000,0.800000,0.000000,1.400000,1.000000,1.000000,1.000000,2,1,"This was a clear best option. I chose the rosette because it improves safety while preserving progress."
1200,8,64,"fixed","",7,10,19,8,11,0.783333,-0.200000,0.000000,0.583333,1.000000,1.000000,1.000000,7,1,"This was the strongest available option. I accepted a calculated risk because the progress gain was stronger than the added exposure."
1200,9,72,"fixed","",7,19,22,11,12,0.816667,-0.200000,0.000000,0.616667,1.000000,1.000000,1.000000,7,1,"This was a clear best option. I accepted a calculated risk because the progress gain was stronger than the added exposure."
1200,10,80,"fixed","",7,22,23,12,13,0.883333,0.000000,0.000000,0.883333,1.000000,1.000000,1.000000,7,1,"This was a clear best option. I selected this move because it offered the best overall balance of progress, safety, and pressure."
1200,11,88,"fixed","",9,14,5,0,3,0.250000,0.000000,0.000000,0.250000,1.000000,1.000000,1.000000,6,1,"This was a marginally better option. I selected this move because it offered the best overall balance of progress, safety, and pressure."
1200,12,96,"fixed","",7,23,17,13,15,1.033333,1.200000,0.000000,2.233333,1.000000,1.000000,1.000000,3,1,"This was a clear best option. I prioritised bringing a piece home because finishing is the highest-value progress outcome."
